dataset,error_model,rate,pr_pearson,pr_spearman,pr_topk100
BANC,merge_errors,7.5,0.9916539767347279,0.9949332595037674,0.958
FAFB,merge_errors,0.5,0.9999538454684944,0.9997686141678646,1.0
FAFB,merge_errors,0.0,0.9999999999999997,0.9999999999999994,1.0
FAFB,merge_errors,10.0,0.9992267475086771,0.9946911668388643,0.985
FAFB,merge_errors,15.0,0.998718587141376,0.9920805843663543,0.955
FAFB,merge_errors,1.0,0.9999297913983162,0.9995411008329743,1.0
FAFB,merge_errors,20.0,0.9984324006365526,0.9898667177502096,0.945
FAFB,merge_errors,2.0,0.9998307404560052,0.9990190153238161,0.99
FAFB,merge_errors,3.0,0.9997791648698584,0.9984983139365445,0.99
FAFB,merge_errors,5.0,0.9996468191151997,0.9974044452715313,0.985
FAFB,merge_errors,7.5,0.9994474666957374,0.9960892250602582,0.98
MANC,merge_errors,0.5,0.9999415005583856,0.9997027590917389,0.99
MANC,merge_errors,0.0,0.9999999999999999,0.9999999999999999,1.0
MANC,merge_errors,10.0,0.998404240366273,0.9958354158052282,0.96
MANC,merge_errors,15.0,0.997677366177424,0.9931947706158479,0.94
MANC,merge_errors,1.0,0.9999107901733395,0.999486345217707,0.99
MANC,merge_errors,20.0,0.9971103381987223,0.9907674849702363,0.93
MANC,merge_errors,2.0,0.9998430258385587,0.9991847895920285,0.99
MANC,merge_errors,3.0,0.9997464047068081,0.9988594492475616,0.99
MANC,merge_errors,5.0,0.9991689860247371,0.9979426509150737,0.94
MANC,merge_errors,7.5,0.9988187842637966,0.9969404596690286,0.95
MCNS,merge_errors,0.5,0.9999946422370515,0.999678163500491,1.0
MCNS,merge_errors,0.0,0.9999999999999997,1.0,1.0
MCNS,merge_errors,10.0,0.9871137659227227,0.9933037849648739,0.97
MCNS,merge_errors,15.0,0.9868273821689449,0.9895840030040752,0.9640000000000001
MCNS,merge_errors,1.0,0.9999866028453408,0.9993860829436946,1.0
MCNS,merge_errors,20.0,0.9841097070573237,0.9861095002248925,0.96
MCNS,merge_errors,2.0,0.9999661368057119,0.9987714282793707,0.998
MCNS,merge_errors,3.0,0.9999371933737496,0.9981170541073456,0.99
MCNS,merge_errors,5.0,0.9996684042012844,0.9968291580925296,0.99
MCNS,merge_errors,7.5,0.9872877652941929,0.995166916718593,0.9800000000000001
BANC,missed_synapses,0.25,0.9999707383317455,0.9999709849296909,0.9960000000000001
BANC,missed_synapses,0.5,0.9999504671703857,0.9999416010900999,0.994
BANC,missed_synapses,0.75,0.9999366159808835,0.999912795841879,0.992
BANC,missed_synapses,0.0,1.0,0.9999999999997762,1.0
BANC,missed_synapses,10.0,0.9991061861243441,0.9987176397894982,0.9719999999999999
BANC,missed_synapses,15.0,0.9980074393714486,0.9979455077254183,0.966
BANC,missed_synapses,1.0,0.9999112031926416,0.9998837954821191,0.9879999999999999
BANC,missed_synapses,20.0,0.9975114104522019,0.9970470614506042,0.97
