dataset,error_model,rate,analysis,metric,baseline,value,rel_change_pct,rel_std_pct,n
BANC,merge_errors,1.0,connected_components,metric_scc_max_size,139405.0,138824.0,-0.4167712779312076,0.001361046301137712,5
BANC,merge_errors,1.0,reciprocity,metric_reciprocity,0.1299390807959521,0.13020819646956752,0.20710910987436448,0.06842106691378352,5
BANC,merge_errors,2.0,basic_structure,metric_node_count,158262.0,157086.0,-0.7430716154225272,0.0,5
BANC,merge_errors,2.0,basic_structure,metric_edge_count,3990039.0,3954669.6,-0.886442463344341,0.06651797226279571,5
BANC,merge_errors,2.0,basic_structure,metric_total_synapses,23556214.0,23554107.4,-0.008942863229216249,0.0016759328215964937,5
BANC,merge_errors,2.0,basic_structure,metric_weight_mean,5.903755326702321,5.956026775878354,0.885393216409442,0.06784409523932544,5
BANC,merge_errors,2.0,basic_structure,metric_weight_variance,89.45748753848277,91.85265362293967,2.677435003332228,0.08389469625059678,5
BANC,merge_errors,2.0,basic_structure,metric_weight_std,9.45819684392764,9.583978208296598,1.3298662149298817,0.041390791665731966,5
BANC,merge_errors,2.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,merge_errors,2.0,basic_structure,metric_density,0.0001593039650148,0.00016026474910724,0.6031137343949601,0.0675176564671039,5
BANC,merge_errors,2.0,degree_distribution,metric_total_degree_mean,50.42320961443682,50.35037622703487,-0.14444417156082154,0.06701594875580853,5
BANC,merge_errors,2.0,degree_distribution,metric_in_degree_mean,25.21160480721841,25.175188113517436,-0.14444417156082154,0.06701594875580776,5
BANC,merge_errors,2.0,degree_distribution,metric_out_degree_mean,25.21160480721841,25.175188113517436,-0.14444417156082154,0.06701594875580776,5
