dataset,error_model,rate,analysis,metric,mean,std,n
BANC,merge_errors,0.0,basic_structure,metric_weight_variance,89.45748753848277,0.0,5
BANC,merge_errors,0.0,basic_structure,metric_weight_std,9.45819684392764,0.0,5
BANC,merge_errors,0.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,merge_errors,0.0,basic_structure,metric_density,0.0001593039650148,0.0,5
BANC,merge_errors,0.0,degree_distribution,metric_total_degree_mean,50.42320961443682,0.0,5
BANC,merge_errors,0.0,degree_distribution,metric_in_degree_mean,25.21160480721841,0.0,5
BANC,merge_errors,0.0,degree_distribution,metric_out_degree_mean,25.21160480721841,0.0,5
BANC,merge_errors,0.0,degree_distribution,metric_total_degree_std,111.71935962728317,1.4210854715202004e-14,5
BANC,merge_errors,0.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,merge_errors,0.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,merge_errors,0.0,assortativity,metric_degree_assortativity,-0.0464301869222043,0.0,5
BANC,merge_errors,0.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,merge_errors,0.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,merge_errors,0.0,connected_components,metric_scc_count,18345.0,0.0,5
BANC,merge_errors,0.0,connected_components,metric_scc_max_size,139405.0,0.0,5
BANC,merge_errors,0.0,reciprocity,metric_reciprocity,0.1299390807959521,0.0,5
BANC,merge_errors,0.5,basic_structure,metric_node_count,157968.0,0.0,5
BANC,merge_errors,0.5,basic_structure,metric_edge_count,3980860.0,1053.0658099093332,5
BANC,merge_errors,0.5,basic_structure,metric_total_synapses,23555557.0,327.1409482165142,5
BANC,merge_errors,0.5,basic_structure,metric_weight_mean,5.917203473645284,0.0015403926256043054,5
BANC,merge_errors,0.5,basic_structure,metric_weight_variance,90.05438199345588,0.12006824123890895,5
BANC,merge_errors,0.5,basic_structure,metric_weight_std,9.489696621293305,0.0063268689178142675,5
BANC,merge_errors,0.5,basic_structure,metric_weight_max,913.0,0.0,5
BANC,merge_errors,0.5,basic_structure,metric_density,0.00015952965073902,4.2200735743555154e-08,5
BANC,merge_errors,0.5,degree_distribution,metric_total_degree_mean,50.40084067659273,0.013332647243861972,5
BANC,merge_errors,0.5,degree_distribution,metric_in_degree_mean,25.200420338296365,0.006666323621929648,5
BANC,merge_errors,0.5,degree_distribution,metric_out_degree_mean,25.200420338296365,0.006666323621929648,5
BANC,merge_errors,0.5,degree_distribution,metric_total_degree_std,111.56482692291891,0.034573701171800045,5
BANC,merge_errors,0.5,degree_distribution,metric_in_degree_max,4688.2,10.361467077590895,5
BANC,merge_errors,0.5,degree_distribution,metric_out_degree_max,4763.6,10.49952379872535,5
BANC,merge_errors,0.5,assortativity,metric_degree_assortativity,-0.046321358589552455,3.710040912229771e-05,5
